Tag,USAEinnahmenTsd
1,18214.211
2,9703.767
3,14232.941
4,17062.771
5,15915.778
6,7332.948
7,11570.303
8,12114.102
9,11020.009
10,12567.729
11,13998.713
12,12129.140
13,8008.803
14,10248.284
15,4616.413
16,3767.510
17,6783.240
18,10114.063
19,6109.144
20,1710.810
21,1978.472
22,1525.350
23,1395.114
24,4241.049
25,7268.117
26,4692.094
27,1137.194
28,1305.321
29,1084.897
30,1096.516
31,3202.058
32,5034.832
33,4236.858
34,2794.336
35,912.320
36,745.189
37,775.801
38,2004.506
39,3757.311
40,2041.258
41,523.053
42,592.411
43,500.779
44,504.425
45,1491.287
46,2967.173
47,1245.799
48,360.461
49,416.435
50,375.307
51,372.120
52,814.939
53,1673.838
54,1129.620
55,261.120
56,331.512
57,325.662
58,598.307
59,1048.972
60,2005.035
61,1647.844
62,1008.108
63,409.956
64,330.037
65,349.752
66,878.147
67,1663.066
68,916.649
69,248.469
70,285.634
71,254.847
72,275.238
73,773.615
74,1521.335
75,1023.281
76,220.416
77,221.447
78,231.881
79,218.890
80,650.884
81,1228.798
82,803.635
83,247.936
84,301.331
85,255.359
86,271.386
87,555.036
88,978.911
89,584.428
90,192.963
91,224.404
92,198.644
93,207.239
94,594.517
95,1136.500
96,632.852
97,332.461
98,351.451
99,318.748
100,391.988
101,889.994
102,899.893
103,592.907
104,317.932
105,252.999
106,247.717
107,249.934
108,488.300
109,798.690
110,453.109
111,114.885
112,135.441
113,114.593
114,118.191
115,322.278
116,571.020
117,326.071
118,98.724
119,107.800
120,101.206
121,100.508
122,200.556
123,351.042
124,220.113
125,70.334
126,69.384
127,67.382
128,74.375
129,202.074
130,364.443
131,231.480
132,59.990
133,67.833
134,63.215
135,69.899
136,125.837
137,210.886
138,115.338
139,38.817
140,46.154
141,46.042
142,46.508
143,119.162
144,222.937
145,160.388
146,53.300
147,55.235
148,47.488
149,39.440
150,115.491
151,180.448
152,115.576
153,54.142
154,45.914
155,43.329
156,48.807
157,91.431
158,142.015
159,125.121
160,85.247
161,33.673
162,37.826
163,41.989
164,58.334
165,102.629
166,63.699
167,28.307
168,31.964
169,34.292
170,36.343
171,62.190
172,89.539
173,71.330
174,27.514
175,27.662
176,30.111
177,33.921
178,48.881
179,71.723
180,58.234
181,31.531
182,35.319
183,54.122
184,31.894
185,44.552
186,63.288
187,48.900
188,26.254
189,29.165
190,27.197
191,27.762
192,40.450
193,59.505
194,49.212
195,31.956
196,30.411
197,30.036
198,32.719
199,46.907
200,56.632
201,46.830
202,24.328
203,25.385
204,24.546
205,23.804
206,31.926
207,45.184
208,37.433
209,22.629
210,24.406
211,26.065
212,23.468
213,30.793
214,41.863
215,33.582
216,16.534
217,16.688
218,16.112
219,15.661
220,23.514
221,31.759
222,25.905
223,14.874
224,14.986
225,15.798
226,14.069
227,20.229
228,26.599
229,22.239
230,12.348
231,9.247
232,8.328
233,8.348
234,13.676
235,17.436
236,12.682
237,5.908
238,6.353
239,6.014
240,5.582
241,5.398
242,7.653
243,4.983
