Year,PopulationInMn
1,232.123764
100,236.904172
200,240.611571
300,227.549847
400,241.539639
500,253.237316
600,271.478693
700,278.185334
800,285.713840
900,310.967715
1000,323.407571
1100,397.923813
1200,444.750779
1300,456.389076
1400,442.480757
1500,503.240579
1600,515.751843
1700,591.721866
1750,745.664504
1800,984.741159
1825,1128.342960
1850,1278.698177
1875,1383.207445
1900,1647.405028
1925,2008.052088
1950,2499.322112
1975,4069.437184
2000,6148.898816
2021,7909.295104
