Year,PopulationInMn
1700,591.721866
1710,613.189754
1720,642.718425
1730,664.734940
1740,695.347041
1750,745.664504
1760,779.892249
1770,818.828314
1780,891.049119
1790,931.578147
1800,984.741159
1810,1022.630209
1820,1092.947430
1830,1166.619866
1840,1224.118700
1850,1278.698177
1860,1303.155270
1870,1348.154278
1880,1425.998659
1890,1536.461994
1900,1647.405028
1910,1793.323600
1920,1926.217432
1930,2104.067387
1940,2327.357744
1950,2499.322112
1960,3019.233536
1970,3695.390208
1980,4444.007936
1990,5316.175872
2000,6148.898816
2010,6985.603072
2020,7840.952832
